"depth","common","length","length_category","synoptic_reference","synoptic_latitude","synoptic_longitude","fish_latitude","fish_longitude","fish_site","site_comment","observers","do","temperature","salinity","conductivity","year","datetime"
NA,"silver perch",NA,2.5,"SB-T1-8",37.272865,-75.812291,37.272860759,-75.8128546386,"FISH-SB2",NA,NA,12.89,28.2,29.25,48.05,2019,"2019-06-17T15:15:00"
NA,"Atlantic croaker",6.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"Atlantic croaker",6,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"black sea bass",2.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"black sea bass",3.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"black sea bass",2.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"black sea bass",3,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"pipefish",22.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"pipefish",20,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"pipefish",19.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"pipefish",14,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
NA,"pipefish",11.5,NA,"SB-91",37.26637,-75.811612,37.2663664867,-75.8121758052,"FISH-SB3",NA,NA,10.84,27,28.95,46.645,2019,"2019-06-17T14:35:00"
